year,gdp_at_constant_mill_rs,gdp_growth_percent,gdp_nominal_mill_rs,gdp_nominal_growth_percent,gdp_usd,cpi,exchange_rate,m2,oil_price,food_price,exports_goods_mill_rs,imports_goods_mill_rs,trade_balance_goods_mill_rs,remittances_mill_rs,current_account_balance_mill_rs,cad_percent_gdp,investment_mill_rs,investment_percent_gdp,total_gfcf_current_mill_rs,general_gfcf_current_mill_rs,growth_ggfc_percent,private_gfcf_current_mill_rs,total_gfcf_constant_mill_rs,general_gfcf_constant_mill_rs,private_gfcf_constant_mill_rs,gg_final_consumption_current_mill_rs,growth_final_consumption_percent,current_expenditure_mill_rs,development_expenditure_mill_rs,total_expenditure_mill_rs,fiscal_balance_mill_rs,fiscal_deficit_percent
FY1992,11207270.192273334,6.802999292179446,1791442.506705752,17.61143365140432,72.11926355498197,14.07907864,24.84,505569,25.63001430063883,58.04789653,6761.4,8999.7,-2238.3,1252.45,-1346,-1.866352946,428413.1615471039,23.91442426667124,400773.32754478406,42332.03629197998,17.142711136093446,262213.53115367645,2998860.513454173,300194.9020840523,1993510.6202087088,160296.09667553534,6.863815902455772,230120,91354,321474,-89971,-5.022265558
FY1993,11545373.716027144,3.0168231688293856,1999797.1635504854,11.630552254109027,77.03378904277679,15.46240326,25.96,595390,25.059508616887694,56.47384877771458,6781.5,10048.8,-3267.3,1238.51,-3688,-4.787509541,494034.2009016462,24.704215502762622,462847.0085246971,48072.977450811064,13.56169384159469,293268.0358716352,3121068.097,309372.00119178474,2024314.540390637,179990.11465980904,12.28602467104205,272457,76196,348653,-107525,-5.376795305
FY1994,12092915.776681703,4.742523491417749,2345371.334414547,17.280461096890498,77.76430153894385,17.20529891,30.16,703399,20.54377959,60.273948266060216,6683.6,8690.9,-2007.3,1093.36,-1965,-2.526866391,532720.9402562227,22.713714132998938,496360.5169162725,50176.53671518263,4.3757623844371984,325230.5431052478,3051524.1609079177,295878.0048515862,2055809.1562878075,194850.53046942528,8.256239982,293460,71453,364913,-92179,-3.930251839
FY1995,12686054.682989255,4.9048460872544775,2781740.9513436183,18.60556622851359,90.16988497,19.44580099,30.85,824733,23.04359797932003,63.24527430358154,7776.2,10298.4,-2522.2,1317.73,-2484,-2.75480001,585303.8128338681,21.040917291423504,543622.3519,57273.69156598176,14.144369690329084,335574.5322613867,2901273.633340611,297338.0737562028,1824670.5413058547,225786.2026266926,15.876616852280812,345941,82343,428284,-105352,-3.787268543
FY1996,13673736.242433786,7.785569147584681,3170355.5585488444,13.970193990116876,94.44014175004004,21.5438115,33.57,938680,23.77577791,72.34490477544057,8311,12015,-3704,1227.28,-4575,-4.844338345,664186.5894139857,20.949908524392814,613432.7594689772,61878.36981758082,8.039779043,377547.11981052655,2997453.230123625,293596.6676013039,1895689.701384059,276247.9377150532,22.349343981745594,423866,94233,518099,-137839,-4.34774578
FY1997,13978733.421564162,2.230532853075484,3634424.3254709076,14.637751455690973,93.21426841423205,24.086697,38.99,1053234,27.880530998632747,69.74932490051161,8096,11236,-3140,1078.05,-3846,-4.125977777,694846.0418631451,19.118462227800403,638273.0661177551,50167.01207172832,-18.9264161,414015.8712359281,2765231.0625802027,214066.2327176461,1826377.2452405295,297592.6550563513,7.726652194,455411,85508,540919,-156589,-4.308495266
FY1998,14309514.281871956,2.366314960964333,3992537.157058499,9.853357768,92.45023033169466,25.96837074,43.1858,1206320,21.646220984988442,63.89106026151217,8434,10301,-1867,1237.68,-1921,-2.077874758,731273.1248536904,18.31600048006706,625739.2132084691,56639.43608831448,12.901753063012688,455534.83823641326,2541204.6100033917,229862.65887455008,1862050.6068872423,310782.7939260571,4.432279710400855,529919,104095,634014,-204560,-5.123559079
FY1999,14922083.658602096,4.280853735938295,4392723.581057249,10.023361292737153,93.88167517,27.45800701,46.79,1280546,17.642670846014667,56.06434764070491,7528,9613,-2085,875.55,-2429,-2.587299381,737572.3978207555,16.790776478660995,666625.2303281698,59250.07364878773,4.609222373617294,462617.3433267784,2528826.867436662,232740.14743372786,1735603.0067205525,313673.06339949864,0.9299966181941288,547279,98286,645565,-179177,-4.078950034
FY2000,15807076.790091746,5.930761090321868,5147094.961324631,17.17320396667934,99.42234810362432,28.4419733,51.77,1400632,32.72157463218797,49.96535673678221,8191,9602,-1411,913.49,-1143,-1.149640923,839526.0812415743,16.310677917345398,751510.7574029231,61791.86365625621,4.289935608409978,530019.2688973848,2465567.250015842,221502.02217246918,1759903.5887020885,510387.35866584914,62.713161638560045,626400,95600,722000,-206300,-4.008086145
FY2001,16382114.106578564,3.637847301705177,5655817.907899253,9.883690711,96.77990944386129,29.69600592,58.44,1526044,37.56504214864187,50.25671546333138,8934,10202,-1268,1021.59,-513,-0.530068692,904756.0292863703,15.996908741045818,808041.5431,63188.109678390436,2.259595259824887,574161.2365726427,2586085.8497246187,217755.92627060157,1858920.0334193488,489550.65586354333,-4.082527212,645700,89800,735500,-179700,-3.177259292
FY2002,16811856.669885118,2.6232424002832655,6030116.987006255,6.617947841,98.16241229051369,30.49036435,61.43,1761370,30.34321509533807,52.59202671972708,9140,9434,-294,2340.79,1338,1.3630471875937211,902250.8530490008,14.962410430729259,799135.8525711938,63235.593124678024,0.075146173,633328.6366,2517717.617,211756.74015152658,2002787.1221860421,580614.2275821563,18.601460467452814,700200,126250,826450,-190450,-3.158313519
FY2003,17680556.18743921,5.167183700240474,6581622.987767133,9.145859059604767,112.50637585926724,31.46148579,58.5,2078705,37.27411458454329,58.174033541785064,10889,11333,-444,4190.73,-4070,-3.617572754,1007966.7144215525,15.314865593106742,895420.9613307344,80372.61913242398,27.10028507830686,723171.7858023881,2752143.950859234,257446.90022840636,2242882.726440542,640472.0419156704,10.309395032012759,791700,129200,920900,-180500,-2.742484648
FY2004,19040335.607439663,7.690818125769594,7611677.902880173,15.650469755370988,132.2160483390685,32.89901079,57.57,2486556,41.97198106203147,66.23614269471288,12396,13604,-1208,3826.16,-1811.4,-1.370030358,1191286.2560838452,15.65077071420844,1061126.5639445942,116251.36479601194,44.64050823635999,841576.1015035643,3017814.5175306713,346153.7505274231,2393746.456007102,737326.8912,15.12241642,775000,161000,936000,-130000,-1.707902011
FY2005,20563084.232267514,7.9974883648209705,8619231.796799202,13.23694863044298,145.25163122344458,35.95065063,59.34,2960645,60.28946629494229,65.66586128482089,14481.4,18996.1,-4514.7,4152.29,-1534,-1.056098294,1402042.4951820853,16.266443787980517,1254653.6314568191,146684.13769881634,26.178422039350036,984891.5835311038,3302999.5459059635,410347.25137924484,2584123.655690014,789604.1776,7.090109840003822,864500,227718,1092218,-216967,-2.517242895
FY2006,21727752.72747118,5.663880388993747,9689070.773723098,12.41223118,161.86219134184927,38.79819288,59.86,3406905,82.24530585957999,68.56878908470718,16571.8,24892.9,-8321.1,4588.03,-4990,-3.08286942,1771376.669283945,18.282214163281214,1605693.5590532802,199100.19434551866,35.73396379,1256758.665543004,3935865.5613218304,505549.89196771686,3082196.5553998677,1120888.985394338,41.95580737339317,1034700,365100,1399800,-325300,-3.357391102
